feature,component,current_status,evidence,problem,required_change,priority,implemented,tested,notes
LLM Configuration,config.py / llm.py,BROKEN,LLM_MODEL=openai/gpt-oss-120b in .env.example and settings defaults,Not a valid Groq model — will get HTTP 404 from Groq API,Change default LLM_MODEL to a valid Groq model (e.g. llama-3.3-70b-versatile or llama-3.1-8b-instant),1,NO,NO,Groq models list: https://console.groq.com/docs/models
Knowledge Chunk Verification,knowledge_chunks table / csv_importer.py,BROKEN,SELECT COUNT(*) WHERE is_verified=TRUE returns 0,All 724 chunks are unverified — verified_only=True retrieval always returns empty,Verify the authoritative Muluki Dewani Samhita chunks via migration + script,1,NO,NO,Do NOT bulk-mark verified without checking provenance. Need migration 010 to add selective verification.
Case Context Persistence,services/case_context.py / conversation.py,BROKEN,CaseContextManager stores dict in-memory; ConversationService() created per request,Each request gets a fresh CaseContextManager with no history — case context never accumulates across turns,Persist case_context as JSONB in conversation_sessions OR make CaseContextManager a module-level singleton,1,NO,NO,Module-level singleton would work within single worker. For multi-worker need DB persistence.
LLM Model Default,app/core/config.py,BROKEN,llm_model default set to openai/gpt-oss-120b,Hardcoded broken model name in code,Fix Settings.llm_model default to a valid working Groq model,1,NO,NO,
Grounded Generation Pipeline,services/conversation.py,BROKEN,Depends on verified chunks existing,No verified chunks means generate_grounded_response always falls to no_match path — never calls LLM,Fix chunk verification first then test generation pipeline,1,NO,NO,
Follow-up Questions (non-repetitive),services/conversation.py,BROKEN,_generate_context_aware_follow_ups reads CaseContextManager,CaseContextManager is fresh per request so all fields appear missing — same follow-ups on every turn,Fix CaseContextManager lifecycle so context persists across turns in same session,1,NO,NO,
Health Endpoints,app/api/routes/health.py,COMPLETE,test_health.py passes 8/8 tests,None,None,8,YES,YES,
System Info Endpoint,app/api/routes/system.py,COMPLETE,test_health.py passes,None,None,8,YES,YES,
Database Schema,app/db/migrations/,COMPLETE,All 9 migrations applied; all indexes present,None,None,8,YES,NO,Integration tests skipped (no TEST_DATABASE_URL)
Repository Pattern,app/repositories/,COMPLETE,All repositories have CRUD + batch operations,None,None,8,YES,NO,Integration tests skipped
Knowledge Domains API,app/api/routes/knowledge.py,COMPLETE,GET /api/knowledge/domains works,None,None,7,YES,YES,
Knowledge Search API (lexical),app/api/routes/knowledge.py,PARTIAL,GET /api/knowledge/search works but verified=true always returns empty,All chunks unverified — search with verified=true returns 0 results,Verify knowledge chunks,2,YES,NO,
Legal Retrieval Engine,services/knowledge_retrieval.py,PARTIAL,retrieve_legal_context() exists with ranking and scoring,0 verified chunks means all verified_only=True queries return no_match,Verify chunks and test retrieval,2,YES,NO,
Retrieval — Nepali language,services/knowledge_retrieval.py,COMPLETE,Devanagari-aware token regex; NFC normalization,None,Minor: Romanized Nepali (latin script) not specifically handled beyond standard tokenization,3,YES,YES,
Retrieval — Romanized Nepali,services/knowledge_retrieval.py,PARTIAL,Latin tokens work via standard word-char regex,Romanized Nepali (malai/garyo etc) are not in stop word list and tokenize correctly but no specific synonym expansion,Add common Romanized Nepali terms to retrieval for better matching,3,YES,NO,
Retrieval — English,services/knowledge_retrieval.py,COMPLETE,English terms tokenize and match correctly,None,None,3,YES,YES,
Retrieval — Mixed language,services/knowledge_retrieval.py,COMPLETE,Both Devanagari and Latin tokens extracted from same query,None,None,3,YES,YES,
Retrieval — verified_only filter,services/knowledge_retrieval.py,PARTIAL,Filter exists and is enforced,0 verified chunks makes it always return no_match,Fix verification state of authoritative chunks,2,YES,NO,
Retrieval — citation traceability,services/knowledge_retrieval.py,COMPLETE,Every result includes chunk_id/document_id/provision_id/source,None,None,6,YES,YES,
Retrieval — score ranking,services/knowledge_retrieval.py,COMPLETE,Explainable weighted score: content*1.0 + title*0.3 + domain*0.1,None,None,3,YES,YES,
CSV Import Pipeline,services/csv_importer.py,COMPLETE,Idempotent batch import with validation,None,Minor: dev sample data remains in DB,2,YES,NO,Integration tests skipped
Import — idempotency,services/csv_importer.py,COMPLETE,Unique constraints prevent duplicate records,None,None,2,YES,NO,Integration tests skipped
Import — validation,services/csv_importer.py,COMPLETE,Required fields checked; duplicate detection; URL validation,None,None,2,YES,YES,
Import — verification flag,services/csv_importer.py,PARTIAL,verified=true/false taken from CSV,Muluki Dewani Samhita CSV has verified=false — so all its chunks are unverified,Provide CSV with verified=true for authoritative Muluki Dewani content,2,YES,NO,
Import — Nepali Unicode handling,services/csv_importer.py,COMPLETE,UTF-8/UTF-8-BOM reading; NFC normalization in retrieval,None,None,2,YES,YES,
Import — provenance preservation,services/csv_importer.py,COMPLETE,source_id linked to every chunk,None,None,2,YES,NO,Integration tests skipped
Conversation Sessions,repositories/conversation.py,COMPLETE,create_session / get_session / update_status persisted in DB,None,Non-UUID session keys silently map via uuid5 (documented),5,YES,NO,
Conversation Messages,repositories/conversation.py,COMPLETE,add_message / list_session_messages persisted in DB,None,clock_timestamp() used correctly to avoid same-tx timestamp collision,5,YES,NO,
Conversation History (multi-turn memory),services/conversation.py,PARTIAL,get_recent_context() fetches last N messages from DB,History fetched from DB correctly BUT case context not rebuilt from history,Case context should be rebuilt from message history on each turn,4,YES,NO,
Case Context Extraction,services/conversation.py,PARTIAL,_extract_case_context() extracts fields from current message,Only extracts from current message text — does not rebuild from prior messages,Fix CaseContextManager lifecycle; optionally rebuild from history,4,YES,NO,
Case Context — 15-day deadline extraction,services/conversation.py,PARTIAL,regex r'(\d+)\s*दिन' matches Devanagari digit sequences,Nepali Devanagari digits (१५) not matched — only ASCII digits matched,Add Devanagari digit support to deadline extraction regex,4,YES,NO,Nepali digits: ०=0 १=1 २=2 ... ९=9
Issue Classification,services/conversation.py,PARTIAL,_classify_intent() keyword classification,Only keyword-based; no confidence score; limited Romanized Nepali coverage,Improve keyword coverage especially for Romanized Nepali,4,YES,NO,
Jurisdiction Intelligence,services/conversation.py,PARTIAL,_extract_case_context extracts court/location from keywords,Only a handful of cities; no province inference beyond Kathmandu/Pokhara,Expand jurisdiction patterns,4,YES,NO,
Query Reformulation,services/conversation.py,MISSING,Raw query passed directly to retrieval,No enrichment from case context / prior turns / legal terminology,Build reformulated query from case_context + current query before retrieval,3,NO,NO,High impact: better retrieval without verification fix
Deadline Intelligence,services/conversation.py,PARTIAL,ASCII digit patterns matched,Nepali/Devanagari digits (१५ दिनभित्र) not extracted,Translate Devanagari digits before regex matching,4,YES,NO,१=1 २=2 etc
LLM Provider Abstraction,services/llm.py,COMPLETE,OpenAICompatibleProvider with error types,None,None,5,YES,YES,
LLM Provider — error handling,services/llm.py,COMPLETE,LLMTimeoutError / LLMProviderError / LLMMalformedResponseError,None,None,5,YES,YES,
LLM Provider — no secrets in logs,services/llm.py,COMPLETE,API key never logged or returned,None,None,5,YES,YES,
LLM Provider — graceful failure,services/llm.py,COMPLETE,get_llm_provider() returns None when unconfigured,None,None,5,YES,YES,
LLM Provider — retry strategy,services/llm.py,MISSING,No retry on transient failures,A single timeout/503 kills the request permanently,Implement exponential backoff for timeout/5xx errors,8,NO,NO,Low priority — timeout=30s mitigates most cases
Grounding — system prompt,services/legal_grounding.py,COMPLETE,7 grounding rules + fence + language instruction,None,None,5,YES,YES,
